UlasanNormal,UlasanStop,UlasanStem
"['fisik', 'tabletnya', 'dak', 'sesuai', 'gambar', 'framenya', 'di', 'foto', 'iklan', 'frameless', 'tipis', 'framenya', 'tetapi', 'kenyataan', 'nya', 'lebar', 'prosesornya', 'agak', 'leletsuka', 'ngelack']","['fisik', 'tabletnya', 'dak', 'sesuai', 'gambar', 'framenya', 'foto', 'iklan', 'frameless', 'tipis', 'framenya', 'kenyataan', 'nya', 'lebar', 'prosesornya', 'leletsuka', 'ngelack']",fisik tablet dak sesuai gambar framenya di foto iklan frameless tipis framenya tetapi nyata nya lebar prosesor agak leletsuka ngelack
"['barang', 'yang', 'dijual', 'tidak', 'sesuai', 'dengan', 'spek', 'ram', '&', 'kwalitas', 'foto', 'tidak', 'sesuai', 'yang', 'ditawarkanð\x9f\x99\x8f']","['barang', 'dijual', 'sesuai', 'spek', 'ram', '&', 'kwalitas', 'foto', 'sesuai', 'ditawarkanð\x9f\x99\x8f']",barang yang jual tidak sesuai dengan spek ram  kwalitas foto tidak sesuai yang tawar
"['hp', 'ok']","['hp', 'ok']",hp ok
"['hp', 'sudah', 'diterima', 'dan', 'berfungsi', 'normal', 'tolong', 'dibantu', 'garansi', 'apabila', 'ada', 'kendala', 'pada', 'perangkat']","['hp', 'diterima', 'berfungsi', 'normal', 'tolong', 'dibantu', 'garansi', 'kendala', 'perangkat']",hp sudah terima dan fungsi normal tolong bantu garansi apabila ada kendala pada perangkat
"['barang', 'tidak', 'sesuai', 'pesanan', 'pesan', 'note', 'pro', 'yang', 'datan', 'camon', 'pro']","['barang', 'sesuai', 'pesanan', 'pesan', 'note', 'pro', 'datan', 'camon', 'pro']",barang tidak sesuai pesan pesan note pro yang datan camon pro
"['terima', 'kasih', 'telah', 'menipu', 'saya', 'kalau', 'jual', 'harus', 'jujur', 'saya', 'pesan', 'merk', 'real', 'yang', 'datang', 'merk', 'lain', 'spek', 'hp', 'cina', 'jangan', 'percaya', 'toko', 'ini', 'sangat', 'tidak', 'sesuai', 'dengan', 'apa']","['terima', 'kasih', 'menipu', 'jual', 'jujur', 'pesan', 'merk', 'real', 'merk', 'spek', 'hp', 'cina', 'percaya', 'toko', 'sesuai']",terima kasih telah tipu saya kalau jual harus jujur saya pesan merk real yang datang merk lain spek hp cina jangan percaya toko ini sangat tidak sesuai dengan apa
"['terimakasi', 'spek', 'sesuai', 'bagus', 'banget', 'alhamdulillah']","['terimakasi', 'spek', 'sesuai', 'bagus', 'banget', 'alhamdulillah']",terimakasi spek sesuai bagus banget alhamdulillah
"['barang', 'ok', 'sesuai', 'pesanan', 'cepat', 'sampai', 'mudahan', 'awet', 'recommended', 'jempol']","['barang', 'ok', 'sesuai', 'pesanan', 'cepat', 'mudahan', 'awet', 'recommended', 'jempol']",barang ok sesuai pesan cepat sampai mudah awet recommended jempol
"['barang', 'nya', 'bgs', 'lumayan', 'lah']","['barang', 'nya', 'bgs', 'lumayan']",barang nya bgs lumayan lah
"['mntap', 'lah', 'sesuaidg', 'harganya']","['mntap', 'sesuaidg', 'harganya']",mntap lah sesuaidg harga
"['bagus', 'recomended']","['bagus', 'recomended']",bagus recomended
"['hp', 'sudah', 'diterima', 'dengan', 'baik', 'semoga', 'tiidak', 'ada', 'kendala', 'perangkat', 'dan', 'program', 'mohon', 'dibantu', 'garansi', 'apabila', 'ada', 'kendala']","['hp', 'diterima', 'semoga', 'tiidak', 'kendala', 'perangkat', 'program', 'mohon', 'dibantu', 'garansi', 'kendala']",hp sudah terima dengan baik moga tiidak ada kendala perangkat dan program mohon bantu garansi apabila ada kendala
[],[],
"['overall', 'bagus', 'masalahnya', 'batere', 'parah', '%', 'cuma', 'dihidupin', 'cek', 'fitur', 'browsing', 'tidak', 'sampai', 'mnt', 'kandas', 'baterenya']","['overall', 'bagus', 'batere', 'parah', '%', 'dihidupin', 'cek', 'fitur', 'browsing', 'mnt', 'kandas', 'baterenya']",overall bagus masalah batere parah  cuma dihidupin cek fitur browsing tidak sampai mnt kandas baterenya
"['barang', 'masih', 'bagus', 'masih', 'segel', 'sudah', 'coba', 'oke', 'banget', 'kualitas', 'sesuai', 'harga', 'pokoknya', 'mantab', 'deh']","['barang', 'bagus', 'segel', 'coba', 'oke', 'banget', 'kualitas', 'sesuai', 'harga', 'pokoknya', 'mantab', 'deh']",barang masih bagus masih segel sudah coba oke banget kualitas sesuai harga pokok mantab deh
"['alhamdulillah', 'paket', 'sudah', 'sampai', 'dengan', 'selamat', 'hp', 'sudah', 'saya', 'buka', 'hp', 'bagus', 'kamera', 'jernih', 'isi', 'box', 'lengkap', 'hp', 'cepat', 'hp', 'diterima', 'dengan', 'selamat', 'pengemasan', 'dan', 'pengir']","['alhamdulillah', 'paket', 'selamat', 'hp', 'buka', 'hp', 'bagus', 'kamera', 'jernih', 'isi', 'box', 'lengkap', 'hp', 'cepat', 'hp', 'diterima', 'selamat', 'pengemasan', 'pengir']",alhamdulillah paket sudah sampai dengan selamat hp sudah saya buka hp bagus kamera jernih isi box lengkap hp cepat hp terima dengan selamat emas dan kir
"['yeah', 'akhirnya', 'barang', 'sampai', 'dengan', 'aman', 'fitur', 'lengkap', 'ada', 'casan', 'headset', 'softcase', 'tempered', 'glass', 'semua', 'berjalan', 'dengan', 'baik', 'seller', 'ramah', 'kurir', 'amanah', 'pengiriman']","['yeah', 'barang', 'aman', 'fitur', 'lengkap', 'casan', 'headset', 'softcase', 'tempered', 'glass', 'berjalan', 'seller', 'ramah', 'kurir', 'amanah', 'pengiriman']",yeah akhir barang sampai dengan aman fitur lengkap ada cas headset softcase tempered glass semua jalan dengan baik seller ramah kurir amanah kirim
"['kualitas', 'produk', 'sangat', 'baik', 'spek', 'nya', 'bagus', 'worth', 'it', 'pengemasan', 'cukup', 'baik', 'produknya', 'masih', 'aman', 'pengiriman', 'jauh', 'lebih', 'cepat', 'dari', 'pada', 'estimasinya', 'thank', 'you', 'seller']","['kualitas', 'produk', 'spek', 'nya', 'bagus', 'worth', 'it', 'pengemasan', 'produknya', 'aman', 'pengiriman', 'cepat', 'estimasinya', 'thank', 'you', 'seller']",kualitas produk sangat baik spek nya bagus worth it emas cukup baik produk masih aman kirim jauh lebih cepat dari pada estimasi thank you seller
"['saya', 'sangat', 'puas', 'saya', 'telah', 'menggunakannya', 'untuk', 'sementara', 'waktu', 'dan', 'memiliki', 'kapasitas', 'penyimpanan', 'baterai', 'yang', 'kuat', 'jika', 'hanya', 'digunakan', 'untuk', 'menjawab', 'dan', 'membu']","['puas', 'menggunakannya', 'memiliki', 'kapasitas', 'penyimpanan', 'baterai', 'kuat', 'membu']",saya sangat puas saya telah guna untuk sementara waktu dan milik kapasitas simpan baterai yang kuat jika hanya guna untuk jawab dan membu
"['pengiriman', 'cepat', 'tubuhnya', 'cerah', 'dan', 'tipis', 'dengan', 'warna', 'yang', 'indah', 'sangat', 'indah', 'cukup', 'ingatan', 'prosesor', 'licin', 'hidup', 'baterai', 'panjang', 'disediakan', 'dengan', 'pencari', 'mudah']","['pengiriman', 'cepat', 'tubuhnya', 'cerah', 'tipis', 'warna', 'indah', 'indah', 'ingatan', 'prosesor', 'licin', 'hidup', 'baterai', 'disediakan', 'pencari', 'mudah']",kirim cepat tubuh cerah dan tipis dengan warna yang indah sangat indah cukup ingat prosesor licin hidup baterai panjang sedia dengan cari mudah
"['teleponnya', 'dibeli', 'untuk', 'ibuku', 'dengan', 'warna', 'yang', 'sangat', 'indah', 'kecepatan', 'berjalan', 'yang', 'baik', 'foto-foto', 'yang', 'jelas', 'dan', 'yang', 'paling', 'penting', 'itu', 'memiliki', 'biaya-efekti']","['teleponnya', 'dibeli', 'ibuku', 'warna', 'indah', 'kecepatan', 'berjalan', 'foto-foto', 'memiliki', 'biaya-efekti']",telepon beli untuk ibu dengan warna yang sangat indah cepat jalan yang baik foto yang jelas dan yang paling penting itu milik biaya-efekti
"['-', 'oke', 'bernilai', 'membeli', 'kembali', 'ponselnya', 'efisien', 'baterai', 'dan', 'bertahan', 'kecepatan', 'muatan', 'cepat', 'harganya', 'moderat', 'efek', 'foto', 'besar', 'ponsel', 'ringan', 'dan', 'nyaman', 'dan', 'nyaman']","['-', 'oke', 'bernilai', 'membeli', 'ponselnya', 'efisien', 'baterai', 'bertahan', 'kecepatan', 'muatan', 'cepat', 'harganya', 'moderat', 'efek', 'foto', 'ponsel', 'ringan', 'nyaman', 'nyaman']",- oke nila beli kembali ponselnya efisien baterai dan tahan cepat muat cepat harga moderat efek foto besar ponsel ringan dan nyaman dan nyaman
"['kualitas', 'memuaskan', 'paket', 'sampai', 'dengan', 'baiktanpa', 'ada', 'masalah', 'barang', 'sesuai', 'harapan', 'pengiriman', 'cepat', 'banyak', 'pilihan', 'produk', 'hp', 'nya', 'dalam', 'kondisi', 'mulus', 'dapet', 'harga', 'segitu']","['kualitas', 'memuaskan', 'paket', 'baiktanpa', 'barang', 'sesuai', 'harapan', 'pengiriman', 'cepat', 'pilihan', 'produk', 'hp', 'nya', 'kondisi', 'mulus', 'dapet', 'harga', 'segitu']",kualitas muas paket sampai dengan baiktanpa ada masalah barang sesuai harap kirim cepat banyak pilih produk hp nya dalam kondisi mulus dapet harga segitu
"['alhamdulillah', 'barang', 'datang', 'dengan', 'selamat', 'cepat', 'lagi', 'pengirimannya', 'tadinya', 'sih', 'was', 'was', 'karena', 'belum', 'pernah', 'beli', 'hp', 'secara', 'online', 'tetapi', 'terpercaya', 'lah', 'terima kasih', 'buat', 'tok']","['alhamdulillah', 'barang', 'selamat', 'cepat', 'pengirimannya', 'sih', 'was', 'was', 'beli', 'hp', 'online', 'terpercaya', 'terima kasih', 'tok']",alhamdulillah barang datang dengan selamat cepat lagi kirim tadi sih was was karena belum pernah beli hp cara online tetapi percaya lah terima kasih buat tok
"['tampaknya', 'tinggi', 'harga', 'yang', 'cocokð\x9f\x92\x95', 'operasi', 'cepat', 'sangat', 'puas', 'dengan', 'menonton', 'film', 'dan', 'mendengarkan', 'musikð\x9f\x98\x86ð\x9f\x98\x86', 'dan', 'sangat', 'puas', 'dengan', 'fungsi', 'kamerað\x9f¥°ð\x9f¥°', 'saya', 'hanya', 'raj']","['harga', 'cocokð\x9f\x92\x95', 'operasi', 'cepat', 'puas', 'menonton', 'film', 'mendengarkan', 'musikð\x9f\x98\x86ð\x9f\x98\x86', 'puas', 'fungsi', 'kamerað\x9f¥°ð\x9f¥°', 'raj']",tampak tinggi harga yang cocok operasi cepat sangat puas dengan tonton film dan dengar musik dan sangat puas dengan fungsi kamera saya hanya raj
"['mantap', 'barang', 'mulus', 'seperti', 'baru', 'walpun', 'murah', 'juga', 'kualitas', 'tidak', 'murahan', 'terbaik', 'tokonya', 'mantap', 'semoga', 'bisa', 'beli', 'lagi', 'taun', 'depan']","['mantap', 'barang', 'mulus', 'walpun', 'murah', 'kualitas', 'murahan', 'terbaik', 'tokonya', 'mantap', 'semoga', 'beli', 'taun']",mantap barang mulus seperti baru walpun murah juga kualitas tidak murah baik toko mantap moga bisa beli lagi taun depan
"['belanja', 'disini', 'puass', 'barang', 'berkualitas', 'rekomend', 'banget', 'produk', 'sesuai', 'digambar', 'barang', 'datang', 'dengan', 'aman', 'dan', 'lengkap', 'puasss', 'kakak', 'terima kasih']","['belanja', 'puass', 'barang', 'berkualitas', 'rekomend', 'banget', 'produk', 'sesuai', 'digambar', 'barang', 'aman', 'lengkap', 'puasss', 'kakak', 'terima kasih']",belanja sini puass barang kualitas rekomend banget produk sesuai gambar barang datang dengan aman dan lengkap puasss kakak terima kasih
"['akhirnya', 'sampe', 'dgn', 'amantidak', 'ada', 'kerusakan', 'dan', 'berfungsi', 'dgn', 'baik', 'jugaseller', 'ramah', 'mantapp']","['sampe', 'dgn', 'amantidak', 'kerusakan', 'berfungsi', 'dgn', 'jugaseller', 'ramah', 'mantapp']",akhir sampe dgn amantidak ada rusa dan fungsi dgn baik jugaseller ramah mantapp
"['gooddan', 'realpict', 'juga', 'hp', 'yang', 'saya', 'pesantanpa', 'kekurangan', 'sedikitpun', 'terima kasih']","['gooddan', 'realpict', 'hp', 'pesantanpa', 'kekurangan', 'sedikitpun', 'terima kasih']",gooddan realpict juga hp yang saya pesantanpa kurang sedikit terima kasih
"['dengann', 'hargaa', 'segtu', 'lumbayan', 'bagus', 'bangetdesign', 'nya', 'bagus', 'kualitasnyaa', 'bagus', 'terima kasih', 'toko', 'sudah', 'amanah', 'ð\x9f\x99\x8f']","['dengann', 'hargaa', 'segtu', 'lumbayan', 'bagus', 'bangetdesign', 'nya', 'bagus', 'kualitasnyaa', 'bagus', 'terima kasih', 'toko', 'amanah', 'ð\x9f\x99\x8f']",dengann hargaa segtu lumbayan bagus bangetdesign nya bagus kualitasnyaa bagus terima kasih toko sudah amanah 
"['sesuai', 'keinginan', 'karena', 'mesan', 'tanpa', 'ragu', 'dan', 'seneng', 'juga', 'masih', 'mulus', 'tanpa', 'lecet', 'sedikitpun', 'tidak ada', 'kurangnya', 'sama', 'sekali', 'admin', 'juga', 'ramah', 'amanah']","['sesuai', 'mesan', 'ragu', 'seneng', 'mulus', 'lecet', 'sedikitpun', 'tidak ada', 'kurangnya', 'admin', 'ramah', 'amanah']",sesuai ingin karena mesan tanpa ragu dan neng juga masih mulus tanpa lecet sedikit tidak ada kurang sama sekali admin juga ramah amanah
"['terima kasih', 'seller', 'sudah', 'menjual', 'brng', 'dengan', 'amanah', 'tidak', 'kecewa', 'deh', 'beli', 'disini', 'ori', 'dan', 'lengkap', 'brng', 'nya']","['terima kasih', 'seller', 'menjual', 'brng', 'amanah', 'kecewa', 'deh', 'beli', 'ori', 'lengkap', 'brng', 'nya']",terima kasih seller sudah jual brng dengan amanah tidak kecewa deh beli sini ori dan lengkap brng nya
"['akhirnya', 'sampe', 'jga', 'dgn', 'amanmantapp', 'deh', 'pokoknyathanks', 'terima kasih']","['sampe', 'jga', 'dgn', 'amanmantapp', 'deh', 'pokoknyathanks', 'terima kasih']",akhir sampe jga dgn amanmantapp deh pokoknyathanks terima kasih
"['terima kasih', 'banyak', 'yaa', 'seller', 'paketnya', 'sudah', 'sampai', 'dengan', 'baik', 'mantap', 'betul', 'dah', 'next', 'order', 'hp', 'lagi', 'disini']","['terima kasih', 'yaa', 'seller', 'paketnya', 'mantap', 'dah', 'next', 'order', 'hp']",terima kasih banyak yaa seller paket sudah sampai dengan baik mantap betul dah next order hp lagi sini
"['terima kasih', 'yahh', 'paket', 'sudah', 'saya', 'terima', 'bagus', 'dan', 'menarik', 'tampilan', 'nya', 'sangat', 'oke', 'banget', 'dehhh']","['terima kasih', 'yahh', 'paket', 'terima', 'bagus', 'menarik', 'tampilan', 'nya', 'oke', 'banget', 'dehhh']",terima kasih yahh paket sudah saya terima bagus dan tarik tampil nya sangat oke banget dehhh
"['alhamdulillah', 'mendarat', 'dengan', 'selamat', 'thank', 'you', 'seller', 'berfungsi', 'dengan', 'baik', 'jugano', 'cacat', 'ð\x9f\x98\x8dð\x9f\x98\x8dð\x9f\x91\x8dð\x9f\x91\x8d']","['alhamdulillah', 'mendarat', 'selamat', 'thank', 'you', 'seller', 'berfungsi', 'jugano', 'cacat', 'ð\x9f\x98\x8dð\x9f\x98\x8dð\x9f\x91\x8dð\x9f\x91\x8d']",alhamdulillah darat dengan selamat thank you seller fungsi dengan baik jugano cacat 
"['alhamdulillah', 'paket', 'sudah', 'diterima', 'dengan', 'baik', 'packing', 'rapih', 'brng', 'yang', 'di', 'terima', 'sesuai', 'pesanan', 'semoga', 'pelayanan', 'after', 'sales-nya', 'terus', 'terjaga', 'terima kasih', 'recommended', 'sel']","['alhamdulillah', 'paket', 'diterima', 'packing', 'rapih', 'brng', 'terima', 'sesuai', 'pesanan', 'semoga', 'pelayanan', 'after', 'sales-nya', 'terjaga', 'terima kasih', 'recommended', 'sel']",alhamdulillah paket sudah terima dengan baik packing rapih brng yang di terima sesuai pesan moga layan after sales-nya terus jaga terima kasih recommended sel
"['baru', 'pertama', 'nya', 'belanja', 'handphone', 'di', 'toko', 'inisangat', 'amanah', 'sekali', 'tokonyaproduk', 'aslisesuai', 'dengan', 'pesananbonus', 'kartu', 'lagilengkap', 'semuakeren', 'banget', 'lah', 'poko']","['nya', 'belanja', 'handphone', 'toko', 'inisangat', 'amanah', 'tokonyaproduk', 'aslisesuai', 'pesananbonus', 'kartu', 'lagilengkap', 'semuakeren', 'banget', 'poko']",baru pertama nya belanja handphone di toko inisangat amanah sekali tokonyaproduk aslisesuai dengan pesananbonus kartu lagilengkap semuakeren banget lah poko
"['first', 'time', 'beli', 'hp', 'secara', 'online', 'pengemasan', 'dan', 'pengiriman', 'aman', 'dan', 'cepat', 'kondisi', 'sangat', 'bagus', 'box', 'segel', 'cas', 'case', 'kartu', 'earphone', 'garansi', 'dll', 'dapat', 'dgn', 'baik', 'diterima']","['first', 'time', 'beli', 'hp', 'online', 'pengemasan', 'pengiriman', 'aman', 'cepat', 'kondisi', 'bagus', 'box', 'segel', 'cas', 'case', 'kartu', 'earphone', 'garansi', 'dll', 'dgn', 'diterima']",first time beli hp cara online emas dan kirim aman dan cepat kondisi sangat bagus box segel cas case kartu earphone garansi dll dapat dgn baik terima
"['hp', 'original', 'pengiriman', 'kilat', 'dikemas', 'dengan', 'aman', 'terima kasih', 'yahh', 'wajib', 'order', 'disini', 'kualitas', 'terjamin', 'bgttt', 'percaya', 'deh']","['hp', 'original', 'pengiriman', 'kilat', 'dikemas', 'aman', 'terima kasih', 'yahh', 'wajib', 'order', 'kualitas', 'terjamin', 'bgttt', 'percaya', 'deh']",hp original kirim kilat kemas dengan aman terima kasih yahh wajib order sini kualitas jamin bgttt percaya deh
"['mantap', 'puas', 'banget', 'belanja', 'di', 'sini', 'barang', 'sampai', 'dengan', 'aman', 'peninggi', 'sangat', 'aman', 'sipï¼\x8cpaketan', 'cpt', 'aman', 'terkendali', 'smg', 'hp', 'awet', 'dipake', 'bwt', 'ank', 'keperluan', 'sekolahnyaalhamdul']","['mantap', 'puas', 'banget', 'belanja', 'barang', 'aman', 'peninggi', 'aman', 'sipï¼\x8cpaketan', 'cpt', 'aman', 'terkendali', 'smg', 'hp', 'awet', 'dipake', 'bwt', 'ank', 'keperluan', 'sekolahnyaalhamdul']",mantap puas banget belanja di sini barang sampai dengan aman tinggi sangat aman sip paket cpt aman kendali smg hp awet dipake bwt ank perlu sekolahnyaalhamdul
"['ini', 'pembelian', 'kedua', 'slalu', 'puas', 'pengiriman', 'juga', 'cepat', 'respon', 'seller', 'juga', 'ramah', 'hpnya', 'juga', 'oke', 'bubble', 'wrap', 'nya', 'banyak', 'banget', 'bikin', 'barang', 'aman', 'pokonya']","['pembelian', 'slalu', 'puas', 'pengiriman', 'cepat', 'respon', 'seller', 'ramah', 'hpnya', 'oke', 'bubble', 'wrap', 'nya', 'banget', 'bikin', 'barang', 'aman', 'pokonya']",ini beli dua slalu puas kirim juga cepat respon seller juga ramah hpnya juga oke bubble wrap nya banyak banget bikin barang aman poko
"['bagus', 'barangnya', 'terima', 'kasih', 'barangnya', 'original', 'ð\x9f\x91\x8d']","['bagus', 'barangnya', 'terima', 'kasih', 'barangnya', 'original', 'ð\x9f\x91\x8d']",bagus barang terima kasih barang original 
"['tidak', 'sesuai', 'pesananyg', 'dateng', 'reno', 'pro']","['sesuai', 'pesananyg', 'dateng', 'reno', 'pro']",tidak sesuai pesananyg dateng reno pro
"['terima', 'kasih', 'kak', 'barangnya', 'sudah', 'saya', 'terima', 'padahal', 'baru', 'kemarin', 'saya', 'pesen', 'subhanallah', 'cepet', 'banget', 'pengiriman', 'nya', 'barang', 'juga', 'tidak', 'mengecewakan', 'anakku', 'seneng', 'banget']","['terima', 'kasih', 'kak', 'barangnya', 'terima', 'kemarin', 'pesen', 'subhanallah', 'cepet', 'banget', 'pengiriman', 'nya', 'barang', 'mengecewakan', 'anakku', 'seneng', 'banget']",terima kasih kak barang sudah saya terima padahal baru kemarin saya sen subhanallah cepet banget kirim nya barang juga tidak kecewa anak neng banget
"['barang', 'mantaappcm', 'koneksi', 'lemot', 'sekaliflash', 'light', 'juga', 'tidak', 'bisakamera', 'buruksepadan', 'untuk', 'harga', 'seginiterima', 'kasih']","['barang', 'mantaappcm', 'koneksi', 'lemot', 'sekaliflash', 'light', 'bisakamera', 'buruksepadan', 'harga', 'seginiterima', 'kasih']",barang mantaappcm koneksi lot sekaliflash light juga tidak bisakamera buruksepadan untuk harga seginiterima kasih
['ok'],['ok'],ok
"['baru', 'pertama', 'kali', 'beli', 'dsni', 'kualitas', 'hp', 'baik', 'dan', 'memuaskan', 'spesifikasi', 'gahar', 'dengan', 'harga', 'segitu', 'lumayan', 'terjangkau', 'mudahan', 'hp', 'awet', 'di', 'pakai', 'pengiriman', 'juga', 'cepat', 'da']","['kali', 'beli', 'dsni', 'kualitas', 'hp', 'memuaskan', 'spesifikasi', 'gahar', 'harga', 'segitu', 'lumayan', 'terjangkau', 'mudahan', 'hp', 'awet', 'pakai', 'pengiriman', 'cepat', 'da']",baru pertama kali beli dsni kualitas hp baik dan muas spesifikasi gahar dengan harga segitu lumayan jangkau mudah hp awet di pakai kirim juga cepat da
"['handphone', 'nya', 'keren', 'banget', 'ya', 'ampun', 'kaget', 'banget', 'pengiriman', 'nya', 'cpettt', 'aduhhh', 'keren', 'bgtt', 'sihhh', 'pelayanan', 'tokonya', 'juga', 'bagus', 'ramah', 'cepet', 'juga', 'suka', 'ihhh']","['handphone', 'nya', 'keren', 'banget', 'ya', 'ampun', 'kaget', 'banget', 'pengiriman', 'nya', 'cpettt', 'aduhhh', 'keren', 'bgtt', 'sihhh', 'pelayanan', 'tokonya', 'bagus', 'ramah', 'cepet', 'suka', 'ihhh']",handphone nya keren banget ya ampun kaget banget kirim nya cpettt aduhhh keren bgtt sihhh layan toko juga bagus ramah cepet juga suka ihhh
"['mantap', 'gan', 'rekomendasi', 'banget', 'barang', 'sesuai', 'pesanan', 'sampai', 'dalam', 'keadaan', 'aman', 'dan', 'semoga', 'bermanfaat']","['mantap', 'gan', 'rekomendasi', 'banget', 'barang', 'sesuai', 'pesanan', 'aman', 'semoga', 'bermanfaat']",mantap gan rekomendasi banget barang sesuai pesan sampai dalam ada aman dan moga manfaat
"['kualitas', 'produk', 'sangat', 'baik', 'pengiriman', 'juga', 'oke', 'pesanan', 'sudah', 'dibuka', 'dan', 'sesuai', 'dengan', 'pesanan', 'saya', 'produk', 'original', 'dan', 'bergaransi', 'resminya', 'sangat', 'memuaskan', 'sekali', 'pengem']","['kualitas', 'produk', 'pengiriman', 'oke', 'pesanan', 'dibuka', 'sesuai', 'pesanan', 'produk', 'original', 'bergaransi', 'resminya', 'memuaskan', 'pengem']",kualitas produk sangat baik kirim juga oke pesan sudah buka dan sesuai dengan pesan saya produk original dan garansi resmi sangat muas sekali pengem
"['pembelian', 'kesekian', 'kalinya', 'mantul', 'gan', 'barang', 'bagus', 'pengiriman', 'cepat', 'sampe', 'dengan', 'selamat', 'dan', 'kurirnya', 'ramah', 'dan', 'penyabar', 'terima kasih', 'seller', 'sukses', 'selalu']","['pembelian', 'kesekian', 'kalinya', 'mantul', 'gan', 'barang', 'bagus', 'pengiriman', 'cepat', 'sampe', 'selamat', 'kurirnya', 'ramah', 'penyabar', 'terima kasih', 'seller', 'sukses']",beli sekian kali mantul gan barang bagus kirim cepat sampe dengan selamat dan kurir ramah dan sabar terima kasih seller sukses selalu
"['tabnya', 'keren', 'ternyata', 'tampilan', 'minimalis', 'fitur', 'lengkap', 'sempet', 'ragu', 'mau', 'beli', 'tetapi', 'ternyata', 'lebih', 'dari', 'ekspetasi', 'oke', 'good', 'seller', 'terima kasih', 'yaa']","['tabnya', 'keren', 'tampilan', 'minimalis', 'fitur', 'lengkap', 'sempet', 'ragu', 'beli', 'ekspetasi', 'oke', 'good', 'seller', 'terima kasih', 'yaa']",tabnya keren nyata tampil minimal fitur lengkap sempet ragu mau beli tetapi nyata lebih dari ekspetasi oke good seller terima kasih yaa
"['tab', 'sudah', 'sampai', 'cepat', 'sekali', 'fitur', 'semua', 'aman', 'dikirim', 'dengan', 'aman', 'dan', 'lengkap', 'tidak', 'ada', 'yang', 'kurang', 'sangat', 'recommended', 'best', 'seller', 'terima kasih', 'seller']","['tab', 'cepat', 'fitur', 'aman', 'dikirim', 'aman', 'lengkap', 'recommended', 'best', 'seller', 'terima kasih', 'seller']",tab sudah sampai cepat sekali fitur semua aman kirim dengan aman dan lengkap tidak ada yang kurang sangat recommended best seller terima kasih seller
"['tablet', 'bagus', 'berkualitas', 'mantap', 'bgtt', 'dehhh', 'semoga', 'saja', 'awett', 'dan', 'tahan', 'lama', 'yahh']","['tablet', 'bagus', 'berkualitas', 'mantap', 'bgtt', 'dehhh', 'semoga', 'awett', 'tahan', 'yahh']",tablet bagus kualitas mantap bgtt dehhh moga saja awett dan tahan lama yahh
"['harga', 'produknya', 'sangat', 'worth', 'it', 'banget', 'dan', 'produknya', 'sangat', 'sesuai', 'pesanan', 'sangat', 'puas', 'belanja', 'disini']","['harga', 'produknya', 'worth', 'it', 'banget', 'produknya', 'sesuai', 'pesanan', 'puas', 'belanja']",harga produk sangat worth it banget dan produk sangat sesuai pesan sangat puas belanja sini
"['terima kasih', 'seller', 'semoga', 'makin', 'sukses', 'kedepannya', 'terima kasih', 'juga', 'sudah', 'amanah', 'sama', 'barang', 'sayaaa', 'dan', 'yang', 'terpenting', 'tabletnya', 'tidak', 'ada', 'kerusakan', 'semua', 'aman', 'dan', 'baik']","['terima kasih', 'seller', 'semoga', 'sukses', 'kedepannya', 'terima kasih', 'amanah', 'barang', 'sayaaa', 'terpenting', 'tabletnya', 'kerusakan', 'aman']",terima kasih seller moga makin sukses depan terima kasih juga sudah amanah sama barang sayaaa dan yang penting tablet tidak ada rusa semua aman dan baik
"['tablet', 'ini', 'hanyalah', 'artefak', 'labih', 'baik', 'dari', 'yang', 'saya', 'beli', 'sebelumnya', 'layarnya', 'hd', 'sangat', 'jernih', 'pengorperasnnya', 'lancar', 'kualitas', 'suara', 'jernih', 'volume', 'sangat', 'besar', 'harga', 'mu']","['tablet', 'artefak', 'labih', 'beli', 'layarnya', 'hd', 'jernih', 'pengorperasnnya', 'lancar', 'kualitas', 'suara', 'jernih', 'volume', 'harga', 'mu']",tablet ini hanya artefak labih baik dari yang saya beli belum layar hd sangat jernih pengorperasnnya lancar kualitas suara jernih volume sangat besar harga mu
"['barangnya', 'sudah', 'sampai', 'kak', 'cepet', 'banget', 'sampainya', 'paket', 'saya', 'ini', 'lain', 'kali', 'beli', 'di', 'sini', 'ajað\x9f\x98\x8að\x9f\x98\x8a']","['barangnya', 'kak', 'cepet', 'banget', 'sampainya', 'paket', 'kali', 'beli', 'ajað\x9f\x98\x8að\x9f\x98\x8a']",barang sudah sampai kak cepet banget sampai paket saya ini lain kali beli di sini aja
"['terima kasih', 'buat', 'seller', 'barangnya', 'sesuai', 'sama', 'apa', 'yang', 'saya', 'harapkan', 'seneng', 'banget', 'seller', 'nya', 'amanah', 'dan', 'ramah', 'barangnya', 'sesuai', 'banget', 'saya', 'suka', 'semoga', 'awet', 'pengiriman', 'cepat', 'tha']","['terima kasih', 'seller', 'barangnya', 'sesuai', 'harapkan', 'seneng', 'banget', 'seller', 'nya', 'amanah', 'ramah', 'barangnya', 'sesuai', 'banget', 'suka', 'semoga', 'awet', 'pengiriman', 'cepat', 'tha']",terima kasih buat seller barang sesuai sama apa yang saya harap neng banget seller nya amanah dan ramah barang sesuai banget saya suka moga awet kirim cepat tha
